ACSSF,MA,060,00,0000042,,,,,25,001,82525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500182525,"Yarmouth town, Barnstable County, Massachusetts",,,
ACSSF,MA,060,00,0000043,,,,,25,003,00555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500300555,"Adams town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000044,,,,,25,003,00975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500300975,"Alford town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000045,,,,,25,003,04545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500304545,"Becket town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000046,,,,,25,003,13345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500313345,"Cheshire town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000047,,,,,25,003,14010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500314010,"Clarksburg town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000048,,,,,25,003,16180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500316180,"Dalton town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000049,,,,,25,003,21360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500321360,"Egremont town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000050,,,,,25,003,24120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500324120,"Florida town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000051,,,,,25,003,26815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500326815,"Great Barrington town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000052,,,,,25,003,28180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500328180,"Hancock town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000053,,,,,25,003,30315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500330315,"Hinsdale town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000054,,,,,25,003,34340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500334340,"Lanesborough town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000055,,,,,25,003,34655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500334655,"Lee town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000056,,,,,25,003,34970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500334970,"Lenox town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000057,,,,,25,003,42460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500342460,"Monterey town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000058,,,,,25,003,43300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500343300,"Mount Washington town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000059,,,,,25,003,44385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500344385,"New Ashford town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000060,,,,,25,003,45420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500345420,"New Marlborough town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000061,,,,,25,003,46225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500346225,"North Adams city, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000062,,,,,25,003,51580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500351580,"Otis town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000063,,,,,25,003,53050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500353050,"Peru town, Berkshire County, Massachusetts",,,
ACSSF,MA,060,00,0000064,,,,,25,003,53960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06000US2500353960,"Pittsfield city, Berkshire County, Massachusetts",,,
